CoCode|StateCode|FundCode
1|NJ|ZLF
1|NJ|ZLH
1|NJ|ZLJ
1|NJ|ZLL
1|TX|ZLF
1|TX|ZLH
1|TX|ZLJ
1|TX|ZLL
13|CA|ZEH
24|NJ|ZTB
24|NJ|ZTD
24|NJ|ZTF
24|NJ|ZTH
24|NJ|ZUZ
24|OR|ZTB
24|OR|ZTD
24|OR|ZTF
24|OR|ZTH
24|OR|ZUZ
24|UT|ZTB
24|UT|ZTD
24|UT|ZTF
24|UT|ZTH
24|UT|ZUZ
24|VT|ZTB
24|VT|ZTD
24|VT|ZTF
24|VT|ZTH
24|VT|ZUZ
26|CA|ZYB
26|CA|ZYD
26|CA|ZZX
26|CA|ZZZ
26|OR|ZYB
26|OR|ZYD
26|OR|ZZX
26|OR|ZZZ
33|NJ|ZNB
33|NJ|ZND
33|NJ|ZNF
33|NJ|ZNH
33|NJ|ZNJ
33|OR|ZNB
33|OR|ZND
33|OR|ZNF
33|OR|ZNH
33|OR|ZNJ
33|UT|ZNB
33|UT|ZND
33|UT|ZNF
33|UT|ZNH
33|UT|ZNJ
36|NJ|ZQD
36|NJ|ZQF
36|NJ|ZQH
36|NJ|ZQJ
36|OR|ZQD
36|OR|ZQF
36|OR|ZQH
36|OR|ZQJ
36|UT|ZQD
36|UT|ZQF
36|UT|ZQH
36|UT|ZQJ
36|VT|ZQD
36|VT|ZQF
36|VT|ZQH
36|VT|ZQJ
37|CA|ZRL
37|CA|ZRN
37|CA|ZRP
37|CA|ZRR
37|NJ|ZRB
37|NJ|ZRD
37|NJ|ZRL
37|NJ|ZRN
37|NJ|ZRP
37|NJ|ZRR
37|NJ|ZSX
37|NJ|ZSZ
37|OR|ZRB
37|OR|ZRD
37|OR|ZSX
37|OR|ZSZ
37|UT|ZRB
37|UT|ZRD
37|UT|ZRL
37|UT|ZRN
37|UT|ZRP
37|UT|ZRR
37|UT|ZSX
37|UT|ZSZ
37|VT|ZRB
37|VT|ZRD
37|VT|ZRL
37|VT|ZRN
37|VT|ZRP
37|VT|ZRR
37|VT|ZSX
37|VT|ZSZ
38|NJ|ZJK
38|NJ|ZJM
38|NJ|ZJO
38|OR|ZJK
38|OR|ZJM
38|OR|ZJO
38|UT|ZJK
38|UT|ZJM
